"","hh010","hh021","hh030","db100","hh081","hh091","hs100","hs160","hs170","hs180","hs190","hh040","family_size","hc190","hs050","hs060","hh050","h79_u","h80_u","hs040","hs070","hs080","hs090","hs110","hd080"
"hs190",0.828052656755829,0.948357045414041,0.974138145021909,0.785428752055474,0.990931579467466,0.998603170841501,0.990234292908852,0.767454171183265,0.613147654704291,0.413797124499968,0,0.669285642703098,0.981134521156934,0.958054315438302,0.981418194550038,0.873805288260664,0.967442778709922,0.962516367354047,0.971739860162973,0.938121833058762,0.99096430376992,0.990100611387696,0.917516143997325,0.923731446697823,0.97062249238343
"hh040",0.316139446045304,0.684358440760507,0.634572649774325,0.280643315078036,0.961423433656684,0.997679965959768,0.975599547814266,0.310280709859792,0.145114767123603,0.435836344175552,0.669285642703098,0,0.886539299363496,0.755374028435835,0.924837582891086,0.450566247474356,0.754661804954597,0.741212321068226,0.783680819086384,0.56230602735217,0.974722318726315,0.980149035137781,0.578675283173103,0.500639261574489,0.76297693486902
"family_size",0.787566636587477,0.626295007361564,0.905546668869356,0.708634773522933,0.978740211388842,0.9976851577684,0.751169471088474,0.900597224150726,0.911231648636865,0.957104266726484,0.981134521156937,0.886539299363494,0,0.343069390331373,0.959160045669237,0.709607295609884,0.699191208366685,0.707880330074195,0.714597738825367,0.698754063949349,0.750448497195339,0.987713587295165,0.515688279696735,0.529847414402451,0.931040650694083
"hc190",0.642127048491727,0.311296419563085,0.68580394645112,0.537753104112254,0.964389714366835,0.997139411503229,0.835258173377246,0.787804416294628,0.833478875213271,0.920153073720625,0.958054315438307,0.755374028435834,0.343069390331372,0,0.836066471884984,0.469482184383955,0.642523244746041,0.723437795699803,0.662663568985166,0.396168566319572,0.834012803647441,0.979925899423852,0.262765788082915,0.339829990632114,0.797134576197293
"hs050",0.923557436318602,0.844037333539017,0.977455425724981,0.849491535695414,0.988916752609397,0.998572162480651,0.944297532521916,0.90973571611797,0.971065407861781,0.98056779963618,0.98141819455004,0.924837582891092,0.959160045669237,0.836066471884985,0,0.838692152384117,0.641114130829222,0.775981278361411,0.540538650666887,0.792920934833451,0.943701281427053,0.936386790881016,0.830431409989687,0.915726525882731,0.606382862428918
"hs060",0.332196126657847,0.400742491098621,0.573862452121076,0.256544176928649,0.919378410855196,0.996489952105223,0.882746041671999,0.477480982331301,0.542333096966699,0.726177951176329,0.873805288260663,0.450566247474354,0.709607295609883,0.469482184383954,0.838692152384118,0,0.545126895421817,0.584902577839555,0.64536028978385,0.253070177254714,0.880264673076283,0.959939246354443,0.223382642793883,0.191419599208619,0.641393362672073
"hh050",0.743424058391321,0.591057944787292,0.892714101411248,0.605696335184946,0.977625031066691,0.99764668818299,0.749066810951458,0.552575543054042,0.882763879796392,0.937801044308813,0.967442778709927,0.75466180495461,0.699191208366692,0.642523244746045,0.641114130829222,0.545126895421818,0,0.154993342574131,0.218898674085024,0.445064640280551,0.748917146117977,0.919122285978484,0.60260880495187,0.691351269367761,0.272385337206412
"h79_u",0.744107888863843,0.663616999935878,0.903095954396314,0.670892258800429,0.976535374138704,0.997774550538514,0.724129345135228,0.519707381105653,0.867031377503513,0.935654070247231,0.962516367354051,0.741212321068234,0.707880330074198,0.723437795699807,0.775981278361412,0.584902577839553,0.154993342574131,0,0.312089008964996,0.526023268352933,0.723508732201995,0.899885869428343,0.659689971216455,0.708939239101132,0.285251058793149
"h80_u",0.779035953797069,0.610370129431569,0.919395705398187,0.627491150315644,0.979857289643539,0.997718943944945,0.679506518669238,0.730922837101654,0.916708803647916,0.944789039584807,0.971739860162976,0.783680819086392,0.714597738825369,0.662663568985169,0.540538650666887,0.645360289783849,0.218898674085025,0.312089008964995,0,0.57137034549112,0.679304859996347,0.897084961990059,0.626795996152465,0.726851998104645,0.350429384089907
"hs040",0.476394362655381,0.315618826539382,0.665314882750785,0.36381232519303,0.95320365834514,0.997075260347753,0.853603208318707,0.606029804327139,0.677942903802931,0.752094261734111,0.938121833058768,0.562306027352168,0.698754063949355,0.396168566319572,0.792920934833451,0.253070177254712,0.44506464028055,0.526023268352935,0.571370345491121,0,0.85251872729387,0.973546546801833,0.249039771964522,0.340993788805401,0.595650173910332
"hs070",0.948898280923396,0.846692340227543,0.97374652185522,0.854297460687522,0.990763858176556,0.998187316316205,0.0800080143946583,0.974427088954151,0.984724775524793,0.990104887922178,0.990964303769921,0.974722318726319,0.750448497195338,0.83401280364744,0.943701281427053,0.880264673076277,0.748917146117977,0.723508732201995,0.679304859996347,0.852518727293871,0,0.976934978186049,0.869451533692157,0.878873903105336,0.967391483181007
"hs080",0.978933880564552,0.97721363197735,0.991429473033731,0.978080063023983,0.993959866422758,0.997904918835268,0.975370359154183,0.93375296723452,0.990738719894691,0.992915950082699,0.990100611387697,0.980149035137781,0.987713587295165,0.979925899423851,0.936386790881016,0.959939246354442,0.919122285978484,0.899885869428343,0.897084961990059,0.97354654680183,0.976934978186049,0,0.958155051708106,0.975971287443711,0.897435006874261
"hs090",0.440626584735744,0.348311869140199,0.669059680093425,0.371854670307421,0.931703215440069,0.996553537432257,0.875100104893707,0.67198663293206,0.675332813502434,0.762021061725181,0.917516143997324,0.578675283173102,0.51568827969674,0.262765788082918,0.830431409989686,0.223382642793883,0.602608804951865,0.659689971216453,0.626795996152464,0.24903977196452,0.869451533692157,0.958155051708107,0,0.124637893647639,0.719360374588116
"hs110",0.380040729910455,0.412755356214003,0.58222947360005,0.335418840733987,0.9355198713487,0.996778869364958,0.880697274786964,0.607438532096715,0.594470952811183,0.772782353555549,0.923731446697821,0.500639261574487,0.529847414402456,0.33982999063211,0.915726525882728,0.191419599208619,0.691351269367762,0.708939239101133,0.726851998104646,0.340993788805401,0.878873903105339,0.975971287443712,0.124637893647638,0,0.801131070330521
"hd080",0.789189175146516,0.731549155099878,0.9439414721827,0.735304998208854,0.98228818469188,0.998519756113529,0.967973842697612,0.529052693229019,0.892490483549324,0.947746854765372,0.970622492383435,0.762976934869032,0.93104065069409,0.7971345761973,0.606382862428917,0.64139336267207,0.272385337206412,0.28525105879315,0.350429384089907,0.595650173910333,0.967391483181007,0.897435006874262,0.719360374588119,0.80113107033052,0
